2024-10-18 14:34:17 startup archives unpack
2024-10-18 14:34:17 install libcap2-bin:amd64 <none> 1:2.66-4
2024-10-18 14:34:17 status half-installed libcap2-bin:amd64 1:2.66-4
2024-10-18 14:34:17 status unpacked libcap2-bin:amd64 1:2.66-4
2024-10-18 14:34:17 install iputils-ping:amd64 <none> 3:20221126-1
2024-10-18 14:34:17 status half-installed iputils-ping:amd64 3:20221126-1
2024-10-18 14:34:17 status unpacked iputils-ping:amd64 3:20221126-1
2024-10-18 14:34:18 install libpam-cap:amd64 <none> 1:2.66-4
2024-10-18 14:34:18 status half-installed libpam-cap:amd64 1:2.66-4
2024-10-18 14:34:18 status unpacked libpam-cap:amd64 1:2.66-4
2024-10-18 14:34:18 startup packages configure
2024-10-18 14:34:18 configure libcap2-bin:amd64 1:2.66-4 <none>
2024-10-18 14:34:18 status unpacked libcap2-bin:amd64 1:2.66-4
2024-10-18 14:34:18 status half-configured libcap2-bin:amd64 1:2.66-4
2024-10-18 14:34:18 status installed libcap2-bin:amd64 1:2.66-4
2024-10-18 14:34:18 configure libpam-cap:amd64 1:2.66-4 <none>
2024-10-18 14:34:18 status unpacked libpam-cap:amd64 1:2.66-4
2024-10-18 14:34:18 status half-configured libpam-cap:amd64 1:2.66-4
2024-10-18 14:34:18 status installed libpam-cap:amd64 1:2.66-4
2024-10-18 14:34:18 configure iputils-ping:amd64 3:20221126-1 <none>
2024-10-18 14:34:18 status unpacked iputils-ping:amd64 3:20221126-1
2024-10-18 14:34:18 status half-configured iputils-ping:amd64 3:20221126-1
2024-10-18 14:34:18 status installed iputils-ping:amd64 3:20221126-1
